section_id,constitution_id,year_th,topic,theme,theme_score
const_2475_s_1,const_2475,2475,6,อื่น ๆ (emergent),1.0
const_2475_s_2,const_2475,2475,70,สถาบันพระมหากษัตริย์,1.0
const_2475_s_3,const_2475,2475,6,สถาบันพระมหากษัตริย์,1.0
const_2475_s_4,const_2475,2475,-1,สถาบันพระมหากษัตริย์,1.0
const_2475_s_5,const_2475,2475,6,สถาบันพระมหากษัตริย์,1.0
const_2475_s_6,const_2475,2475,56,สถาบันพระมหากษัตริย์,0.5
const_2475_s_6,const_2475,2475,56,นิติบัญญัติ,0.5
const_2475_s_7,const_2475,2475,76,สถาบันพระมหากษัตริย์,0.3333333333333333
const_2475_s_7,const_2475,2475,76,บริหาร,0.6666666666666666
const_2475_s_8,const_2475,2475,76,สถาบันพระมหากษัตริย์,0.5
const_2475_s_8,const_2475,2475,76,ตุลาการ,0.5
const_2475_s_9,const_2475,2475,75,สถาบันพระมหากษัตริย์,0.5
const_2475_s_9,const_2475,2475,75,นิติบัญญัติ,0.5
const_2475_s_10,const_2475,2475,8,สถาบันพระมหากษัตริย์,0.25
const_2475_s_10,const_2475,2475,8,นิติบัญญัติ,0.25
const_2475_s_10,const_2475,2475,8,บริหาร,0.5
const_2475_s_11,const_2475,2475,-1,อื่น ๆ (emergent),1.0
const_2475_s_12,const_2475,2475,-1,อื่น ๆ (emergent),1.0
const_2475_s_13,const_2475,2475,99,สิทธิ-เสรีภาพ-หน้าที่,1.0
const_2475_s_14,const_2475,2475,61,สิทธิ-เสรีภาพ-หน้าที่,1.0
const_2475_s_15,const_2475,2475,1,อื่น ๆ (emergent),1.0
const_2475_s_16,const_2475,2475,39,นิติบัญญัติ,0.5555555555555556
const_2475_s_16,const_2475,2475,39,พรรคการเมืองและการเลือกตั้ง,0.4444444444444445
const_2475_s_17,const_2475,2475,23,นิติบัญญัติ,0.5555555555555556
const_2475_s_17,const_2475,2475,23,พรรคการเมืองและการเลือกตั้ง,0.4444444444444445
const_2475_s_18,const_2475,2475,2,นิติบัญญัติ,0.5555555555555556
const_2475_s_18,const_2475,2475,2,พรรคการเมืองและการเลือกตั้ง,0.4444444444444445
const_2475_s_19,const_2475,2475,39,นิติบัญญัติ,1.0
const_2475_s_20,const_2475,2475,82,นิติบัญญัติ,0.5555555555555556
const_2475_s_20,const_2475,2475,82,พรรคการเมืองและการเลือกตั้ง,0.4444444444444445
const_2475_s_21,const_2475,2475,7,นิติบัญญัติ,0.5555555555555556
const_2475_s_21,const_2475,2475,7,พรรคการเมืองและการเลือกตั้ง,0.4444444444444445
const_2475_s_22,const_2475,2475,31,สถาบันพระมหากษัตริย์,0.5
const_2475_s_22,const_2475,2475,31,นิติบัญญัติ,0.5
const_2475_s_23,const_2475,2475,30,อื่น ๆ (emergent),1.0
const_2475_s_24,const_2475,2475,39,พรรคการเมืองและการเลือกตั้ง,1.0
const_2475_s_25,const_2475,2475,17,อื่น ๆ (emergent),1.0
const_2475_s_26,const_2475,2475,11,อื่น ๆ (emergent),1.0
